id,cliente_id,restaurante_id,fecha_hora,monto_total,forma_pago
1,584,5,2025-01-01 06:00:40,66.45,tarjeta
2,394,4,2025-01-01 06:03:32,26.00,tarjeta
3,627,1,2025-01-01 06:04:26,131.75,tarjeta
4,422,7,2025-01-01 06:09:12,15.50,efectivo
5,588,4,2025-01-01 06:11:20,22.00,tarjeta
6,813,7,2025-01-01 06:11:46,73.00,tarjeta
7,887,6,2025-01-01 06:20:20,152.80,tarjeta
8,460,6,2025-01-01 06:22:19,15.50,tarjeta
9,689,10,2025-01-01 06:29:25,10.95,tarjeta
10,45,6,2025-01-01 06:36:22,24.50,tarjeta
11,446,2,2025-01-01 06:36:23,25.50,efectivo
12,849,9,2025-01-01 06:37:55,106.50,efectivo
13,827,7,2025-01-01 06:40:45,195.65,efectivo
14,561,7,2025-01-01 06:42:12,60.45,efectivo
15,567,3,2025-01-01 06:42:52,22.00,efectivo
16,585,3,2025-01-01 06:42:59,158.20,efectivo
17,259,10,2025-01-01 06:44:07,191.75,efectivo
18,256,4,2025-01-01 06:45:55,41.95,efectivo
19,571,4,2025-01-01 06:47:29,48.95,efectivo
20,713,10,2025-01-01 06:58:58,51.95,efectivo
21,190,5,2025-01-01 07:06:00,89.85,efectivo
22,873,10,2025-01-01 07:08:13,45.95,efectivo
23,650,5,2025-01-01 07:09:22,55.50,tarjeta
24,206,2,2025-01-01 07:21:09,68.50,efectivo
25,8,7,2025-01-01 07:25:17,132.85,tarjeta
26,949,4,2025-01-01 07:25:28,54.90,efectivo
27,383,3,2025-01-01 07:28:45,35.00,tarjeta
28,760,5,2025-01-01 07:31:17,40.00,efectivo
29,167,9,2025-01-01 07:35:29,82.85,efectivo
30,664,5,2025-01-01 07:40:49,35.45,tarjeta
31,873,1,2025-01-01 07:41:34,10.95,efectivo
32,315,2,2025-01-01 07:43:05,72.00,efectivo
33,738,10,2025-01-01 07:44:45,125.60,tarjeta
34,732,5,2025-01-01 07:54:19,66.95,tarjeta
35,352,8,2025-01-01 07:56:58,96.50,tarjeta
36,923,2,2025-01-01 07:57:57,35.95,tarjeta
37,222,2,2025-01-01 07:58:27,26.95,efectivo
38,456,1,2025-01-01 08:02:08,15.50,tarjeta
39,446,2,2025-01-01 08:02:13,34.00,efectivo
40,200,9,2025-01-01 08:03:10,79.95,tarjeta
41,253,10,2025-01-01 08:05:19,66.95,tarjeta
42,849,2,2025-01-01 08:11:32,178.40,efectivo
43,633,7,2025-01-01 08:12:29,26.95,tarjeta
44,76,1,2025-01-01 08:13:54,22.50,efectivo
45,279,8,2025-01-01 08:15:06,59.95,tarjeta
46,85,5,2025-01-01 08:17:32,10.00,tarjeta
47,112,5,2025-01-01 08:22:00,27.50,efectivo
48,362,8,2025-01-01 08:24:55,80.50,efectivo
49,867,9,2025-01-01 08:28:08,35.45,efectivo
50,640,2,2025-01-01 08:33:09,163.30,tarjeta
51,54,5,2025-01-01 08:34:01,26.95,efectivo
52,152,3,2025-01-01 08:34:16,32.00,efectivo
53,596,10,2025-01-01 08:35:07,66.85,efectivo
54,422,2,2025-01-01 08:35:36,56.45,efectivo
55,183,4,2025-01-01 08:35:51,46.50,tarjeta
56,395,4,2025-01-01 08:36:04,89.90,tarjeta
57,657,10,2025-01-01 08:37:08,22.00,efectivo
58,933,1,2025-01-01 08:37:40,74.85,tarjeta
59,177,10,2025-01-01 08:38:02,45.45,tarjeta
60,295,1,2025-01-01 08:40:21,64.45,efectivo
61,317,7,2025-01-01 08:40:59,53.95,tarjeta
62,96,9,2025-01-01 08:41:36,54.40,efectivo
63,915,1,2025-01-01 08:43:19,32.95,tarjeta
64,27,9,2025-01-01 08:43:32,26.95,tarjeta
