id,compra_id,producto_id,cantidad,precio_unitario,subtotal,pagado_con_puntos
1,1,9,1,24.50,24.50,false
2,1,12,1,31.00,31.00,false
3,1,17,1,10.95,10.95,false
4,2,26,1,26.00,26.00,false
5,3,3,1,18.00,18.00,false
6,3,2,2,38.90,77.80,false
7,3,1,1,35.95,35.95,false
8,4,19,1,15.50,15.50,false
9,5,11,1,22.00,22.00,false
10,6,25,1,35.00,35.00,false
11,6,26,1,26.00,26.00,false
12,6,18,1,12.00,12.00,false
13,7,10,3,26.95,80.85,false
14,7,3,2,18.00,36.00,false
15,7,1,1,35.95,35.95,false
16,8,19,1,15.50,15.50,false
17,9,17,1,10.95,10.95,false
18,10,9,1,24.50,24.50,false
19,11,20,1,10.00,10.00,false
20,11,19,1,15.50,15.50,false
21,12,7,2,35.00,70.00,false
22,12,23,1,8.00,8.00,false
23,12,6,1,28.50,28.50,false
24,13,1,1,35.95,35.95,false
25,13,23,1,8.00,8.00,false
26,13,2,3,38.90,116.70,false
27,13,7,1,35.00,35.00,false
28,14,9,1,24.50,24.50,false
29,14,1,1,35.95,35.95,false
30,15,20,1,10.00,10.00,false
31,15,18,1,12.00,12.00,false
32,16,1,2,35.95,71.90,false
33,16,15,1,19.95,19.95,false
34,16,3,3,18.00,54.00,false
35,16,13,1,12.35,12.35,false
36,17,2,1,38.90,38.90,false
37,17,7,2,35.00,70.00,false
38,17,17,1,10.95,10.95,false
39,17,1,2,35.95,71.90,false
40,18,12,1,31.00,31.00,false
41,18,17,1,10.95,10.95,false
42,19,11,1,22.00,22.00,false
43,19,10,1,26.95,26.95,false
44,20,17,1,10.95,10.95,false
45,20,12,1,31.00,31.00,false
46,20,20,1,10.00,10.00,false
47,21,26,1,26.00,26.00,false
48,21,2,1,38.90,38.90,false
49,21,21,1,24.95,24.95,false
50,22,25,1,35.00,35.00,false
51,22,17,1,10.95,10.95,false
52,23,12,1,31.00,31.00,false
53,23,9,1,24.50,24.50,false
54,24,12,1,31.00,31.00,false
55,24,19,1,15.50,15.50,false
56,24,11,1,22.00,22.00,false
57,25,17,1,10.95,10.95,false
58,25,5,2,32.00,64.00,false
59,25,23,1,8.00,8.00,false
60,25,21,2,24.95,49.90,false
61,26,14,2,16.50,33.00,false
62,26,17,2,10.95,21.90,false
63,27,25,1,35.00,35.00,false
64,28,19,1,15.50,15.50,false
65,28,9,1,24.50,24.50,false
66,29,21,1,24.95,24.95,false
67,29,22,1,18.00,18.00,false
68,29,15,2,19.95,39.90,false
69,30,9,1,24.50,24.50,false
70,30,17,1,10.95,10.95,false
71,31,17,1,10.95,10.95,false
72,32,11,1,22.00,22.00,false
73,32,22,1,18.00,18.00,false
74,32,5,1,32.00,32.00,false
75,33,7,1,35.00,35.00,false
76,33,23,2,8.00,16.00,false
77,33,21,2,24.95,49.90,false
78,33,13,2,12.35,24.70,false
79,34,19,1,15.50,15.50,false
80,34,9,1,24.50,24.50,false
81,34,10,1,26.95,26.95,false
82,35,27,1,29.50,29.50,false
83,35,25,1,35.00,35.00,false
84,35,5,1,32.00,32.00,false
85,36,1,1,35.95,35.95,false
86,37,10,1,26.95,26.95,false
87,38,19,1,15.50,15.50,false
88,39,18,1,12.00,12.00,false
89,39,11,1,22.00,22.00,false
90,40,12,1,31.00,31.00,false
91,40,10,1,26.95,26.95,false
92,40,11,1,22.00,22.00,false
93,41,1,1,35.95,35.95,false
94,41,12,1,31.00,31.00,false
95,42,16,1,22.50,22.50,false
96,42,1,2,35.95,71.90,false
97,42,11,1,22.00,22.00,false
98,42,12,2,31.00,62.00,false
99,43,10,1,26.95,26.95,false
100,44,16,1,22.50,22.50,false
101,45,7,1,35.00,35.00,false
102,45,21,1,24.95,24.95,false
103,46,20,1,10.00,10.00,false
104,47,19,1,15.50,15.50,false
105,47,18,1,12.00,12.00,false
106,48,19,1,15.50,15.50,false
107,48,6,1,28.50,28.50,false
108,48,9,1,24.50,24.50,false
109,48,18,1,12.00,12.00,false
110,49,17,1,10.95,10.95,false
111,49,9,1,24.50,24.50,false
112,50,1,2,35.95,71.90,false
113,50,6,1,28.50,28.50,false
114,50,18,2,12.00,24.00,false
115,50,2,1,38.90,38.90,false
116,51,10,1,26.95,26.95,false
117,52,20,1,10.00,10.00,false
118,52,11,1,22.00,22.00,false
119,53,16,1,22.50,22.50,false
120,53,5,1,32.00,32.00,false
121,53,13,1,12.35,12.35,false
122,54,9,1,24.50,24.50,false
123,54,18,1,12.00,12.00,false
124,54,15,1,19.95,19.95,false
125,55,19,1,15.50,15.50,false
126,55,12,1,31.00,31.00,false
127,56,1,2,35.95,71.90,false
128,56,22,1,18.00,18.00,false
129,57,11,1,22.00,22.00,false
130,58,1,1,35.95,35.95,false
131,58,2,1,38.90,38.90,false
132,59,17,1,10.95,10.95,false
133,59,20,1,10.00,10.00,false
134,59,9,1,24.50,24.50,false
135,60,11,1,22.00,22.00,false
136,60,10,1,26.95,26.95,false
137,60,19,1,15.50,15.50,false
138,61,18,1,12.00,12.00,false
139,61,17,1,10.95,10.95,false
140,61,12,1,31.00,31.00,false
141,62,19,1,15.50,15.50,false
142,62,2,1,38.90,38.90,false
143,63,17,1,10.95,10.95,false
144,63,20,1,10.00,10.00,false
145,63,18,1,12.00,12.00,false
146,64,10,1,26.95,26.95,false
147,65,7,1,35.00,35.00,false
148,65,9,3,24.50,73.50,false
149,66,12,1,31.00,31.00,false
150,66,23,1,8.00,8.00,false
151,67,6,2,28.50,57.00,false
152,67,2,2,38.90,77.80,false
153,67,5,1,32.00,32.00,false
154,68,20,1,10.00,10.00,false
155,68,18,1,12.00,12.00,false
156,69,2,2,38.90,77.80,false
157,69,6,1,28.50,28.50,false
158,70,19,1,15.50,15.50,false
159,70,12,1,31.00,31.00,false
160,70,20,1,10.00,10.00,false
161,71,6,2,28.50,57.00,false
162,71,15,2,19.95,39.90,false
163,71,7,1,35.00,35.00,false
164,71,5,2,32.00,64.00,false
165,72,18,1,12.00,12.00,false
166,72,11,1,22.00,22.00,false
167,73,2,1,38.90,38.90,false
168,73,27,1,29.50,29.50,false
169,73,22,1,18.00,18.00,false
170,74,7,1,35.00,35.00,false
171,74,23,1,8.00,8.00,false
172,74,3,2,18.00,36.00,false
173,75,10,1,26.95,26.95,false
174,75,11,1,22.00,22.00,false
175,75,9,1,24.50,24.50,false
176,76,27,1,29.50,29.50,false
177,76,23,1,8.00,8.00,false
178,77,26,1,26.00,26.00,false
179,77,6,1,28.50,28.50,false
180,77,2,1,38.90,38.90,false
181,77,22,1,18.00,18.00,false
182,78,11,1,22.00,22.00,false
183,78,19,1,15.50,15.50,false
184,78,12,1,31.00,31.00,false
185,79,20,1,10.00,10.00,false
186,79,19,1,15.50,15.50,false
187,80,20,1,10.00,10.00,false
188,80,10,1,26.95,26.95,false
189,81,10,1,26.95,26.95,false
190,82,12,1,31.00,31.00,false
191,83,20,1,10.00,10.00,false
192,84,12,1,31.00,31.00,false
193,85,19,1,15.50,15.50,false
194,86,1,3,35.95,107.85,false
195,86,7,1,35.00,35.00,false
196,87,17,1,10.95,10.95,false
197,88,12,1,31.00,31.00,false
198,88,22,1,18.00,18.00,false
199,88,21,1,24.95,24.95,false
200,88,9,1,24.50,24.50,false
201,89,12,1,31.00,31.00,false
202,90,20,1,10.00,10.00,false
203,90,10,1,26.95,26.95,false
204,91,23,1,8.00,8.00,false
205,91,7,2,35.00,70.00,false
206,92,10,1,26.95,26.95,false
207,92,25,1,35.00,35.00,false
208,92,20,1,10.00,10.00,false
209,93,10,1,26.95,26.95,false
210,94,15,1,19.95,19.95,false
211,94,7,1,35.00,35.00,false
212,94,3,1,18.00,18.00,false
213,95,12,1,31.00,31.00,false
214,96,11,1,22.00,22.00,false
215,97,10,1,26.95,26.95,false
216,97,12,1,31.00,31.00,false
217,98,11,1,22.00,22.00,false
218,98,9,1,24.50,24.50,false
219,99,6,2,28.50,57.00,false
220,99,21,2,24.95,49.90,false
221,99,5,1,32.00,32.00,false
222,99,7,1,35.00,35.00,false
223,100,1,2,35.95,71.90,false
224,100,2,1,38.90,38.90,false
225,101,3,1,18.00,18.00,false
226,101,7,1,35.00,35.00,false
227,101,14,1,16.50,16.50,false
228,102,20,1,10.00,10.00,false
229,102,10,1,26.95,26.95,false
230,103,5,2,32.00,64.00,false
231,103,18,1,12.00,12.00,false
232,103,7,1,35.00,35.00,false
233,103,3,2,18.00,36.00,false
234,104,25,1,35.00,35.00,false
235,104,26,1,26.00,26.00,false
236,105,11,1,22.00,22.00,false
237,105,25,1,35.00,35.00,false
238,105,20,1,10.00,10.00,false
239,106,17,1,10.95,10.95,false
240,106,12,1,31.00,31.00,false
241,107,18,1,12.00,12.00,false
242,107,9,1,24.50,24.50,false
243,108,5,2,32.00,64.00,false
244,108,6,1,28.50,28.50,false
245,109,1,1,35.95,35.95,false
246,109,17,1,0.00,0.00,true
247,109,21,2,24.95,49.90,false
248,109,2,2,38.90,77.80,false
249,110,7,1,35.00,35.00,false
250,110,5,1,32.00,32.00,false
251,110,9,2,24.50,49.00,false
252,111,19,1,15.50,15.50,false
253,111,13,1,12.35,12.35,false
254,112,16,1,22.50,22.50,false
255,112,25,1,35.00,35.00,false
256,112,27,1,29.50,29.50,false
257,112,6,1,28.50,28.50,false
258,113,7,1,35.00,35.00,false
259,113,9,1,24.50,24.50,false
260,114,19,1,15.50,15.50,false
261,114,2,1,38.90,38.90,false
262,114,3,1,18.00,18.00,false
263,115,18,1,12.00,12.00,false
264,115,21,1,24.95,24.95,false
265,115,23,1,8.00,8.00,false
266,116,1,1,35.95,35.95,false
267,116,11,1,22.00,22.00,false
268,117,20,1,10.00,10.00,false
269,117,3,2,18.00,36.00,false
270,117,5,1,32.00,32.00,false
271,117,7,1,35.00,35.00,false
272,118,1,1,35.95,35.95,false
273,119,26,1,26.00,26.00,false
274,119,3,1,18.00,18.00,false
275,120,16,1,22.50,22.50,false
276,120,18,1,12.00,12.00,false
277,121,12,1,31.00,31.00,false
278,121,7,1,35.00,35.00,false
279,121,5,1,32.00,32.00,false
280,122,2,1,38.90,38.90,false
281,123,16,1,22.50,22.50,false
282,123,1,1,35.95,35.95,false
283,123,6,1,28.50,28.50,false
284,123,7,1,35.00,35.00,false
285,124,5,1,32.00,32.00,false
286,124,3,2,18.00,36.00,false
287,124,9,1,24.50,24.50,false
288,125,5,1,32.00,32.00,false
289,125,14,1,16.50,16.50,false
290,125,1,2,35.95,71.90,false
291,126,5,1,32.00,32.00,false
292,126,7,1,35.00,35.00,false
293,127,27,1,29.50,29.50,false
294,127,25,1,35.00,35.00,false
295,128,16,1,22.50,22.50,false
296,128,27,1,29.50,29.50,false
297,128,19,1,15.50,15.50,false
298,129,3,1,18.00,18.00,false
299,129,5,1,32.00,32.00,false
300,129,6,1,28.50,28.50,false
301,130,7,2,35.00,70.00,false
302,130,3,1,18.00,18.00,false
303,131,6,1,28.50,28.50,false
304,131,3,1,18.00,18.00,false
305,132,6,1,28.50,28.50,false
306,132,1,1,35.95,35.95,false
307,133,27,1,29.50,29.50,false
308,133,3,1,18.00,18.00,false
309,134,26,1,26.00,26.00,false
310,134,27,1,29.50,29.50,false
311,134,25,1,35.00,35.00,false
312,134,2,1,38.90,38.90,false
313,135,21,1,24.95,24.95,false
314,135,5,1,32.00,32.00,false
315,135,16,2,22.50,45.00,false
316,135,7,1,35.00,35.00,false
317,136,20,1,10.00,10.00,false
318,136,25,1,35.00,35.00,false
319,136,10,1,26.95,26.95,false
320,137,7,1,35.00,35.00,false
321,137,5,1,32.00,32.00,false
322,138,2,1,38.90,38.90,false
323,138,13,1,12.35,12.35,false
324,139,25,1,35.00,35.00,false
325,140,1,1,35.95,35.95,false
326,140,26,1,26.00,26.00,false
